page,matched_terms,text
7,TYPE,Dynamic Cone Penetrometer (DCP) testing was canied out using TRL type
7,LOCATION,"pit. Field moisture tests were carried out at each location. The results of the DCP,"
7,LOCATION,The complete range of tests has currently been canied out for all the location and the
7,LOCATION,locations there is a commercial activity along the highway but this is only for a short
7,CONDITION,inventory and condition survey.
8,STRUCTURE,2.8 Cross Drainage Structure
8,CONDITION,"The culvert inventory and condition survey was canied out between 3rd and 7"""
8,TYPE,February 2000. The number and type of culverts along the project road occurring in
8,TYPE,Table A-4 : Numbers and types of Culvert
8,LOCATION; TYPE,"Various details pertaining to the culverts were collected including type, location,"
8,SPAN; CONDITION,"general condition, span, length, etc., The general purpose of the culverts was"
8,CONDITION,"growth of vegetation, etc., The detailed findings of the inventory and condition"
8,CONDITION,A detailed bridge inventory and condition survey was carried out on all the bridges
8,TYPE,"(i) Cracking, cracks could be of different types"
9,CONDITION,Visual observations carried out during the condition survey were mainly made to find
9,STRUCTURE,"out the above listed distresses. In addition to the superstructures, the masonry"
9,STRUCTURE,substructure was inspected to locate cracks and loose mortar in joints specially for
9,CONDITION,The details of inventory and condition survey are enclosed in the Final Feasibility
10,LOCATION,Location of Dhabhas (Km)
12,WIDTH,carriageway width of 7.0 n~ with 1 .5 m wide paved shoulder on either side under National
13,WIDTH,"Recently, the existing two lane carriagenay has been brought to 7 m width (with GSB-"
13,WIDTH,Hard shoulders to 1.5 m width on either side have been provided with a crust of 300 mm
13,WIDTH,GSB + 430 mm WMM + 40 mm BC. Soft shoulders of 1.0 m width on either side have
13,STRUCTURE,2.8 Cross Drainage Structure
13,STRUCTURE,"There are 72 cross drainage structures along the Project Highway, out of which 2 are"
13,LOCATION; SPAN,major bridges 5 are minor bridges and remaining 65 are culverts. The location and span
15,CONDITION,a. enable the NHAI to provide an acceptably safe highway in respect of its condition
16,TYPE,details of type of cross-section shall be to IRC and MOST requirements and specifications.
16,LOCATION,specifications and requirements. The length and locations of the services road will be as per
16,LOCATION,Location
17,TYPE,Design Type
19,WIDTH,• Side ditches of full width on both sides of carriageway in rural section
19,LOCATION,Project Highway shall be as per the design standards indicated in Schedule D. The locations
19,TYPE,2.6.2 The overhead signs shall be the reflectorised types with high intensity retroreflective sheeting
19,LOCATION; TYPE,"of encapsulated type. The height, lateral clearance, location and installation shall be as per"
20,LOCATION,ii) Safety barriers shall be provided at locations of bridge approaches and high
20,WIDTH,iii) Kerb median shall be provided at places where median width is 1.5 m and also in the
20,LOCATION,The following are the locations for the major junctions to be improved along the project
20,LOCATION,Table B-6 Location of Intersection
20,LOCATION,Location
