"shot_id","zone","sequence_index","target_angle","overlap_target","status","filename","notes"
"SHOT_001","FRONT_APPROACH","1","eye-level + slight left/right","70-80%","PENDING","","Keep gopuram/temple visible; move physically between shots."
"SHOT_002","FRONT_APPROACH","2","eye-level + slight left/right","70-80%","PENDING","","Keep gopuram/temple visible; move physically between shots."
"SHOT_003","FRONT_APPROACH","3","eye-level + slight left/right","70-80%","PENDING","","Keep gopuram/temple visible; move physically between shots."
"SHOT_004","FRONT_APPROACH","4","eye-level + slight left/right","70-80%","PENDING","","Keep gopuram/temple visible; move physically between shots."
"SHOT_005","FRONT_APPROACH","5","eye-level + slight left/right","70-80%","PENDING","","Keep gopuram/temple visible; move physically between shots."
"SHOT_006","FRONT_APPROACH","6","eye-level + slight left/right","70-80%","PENDING","","Keep gopuram/temple visible; move physically between shots."
"SHOT_007","FRONT_APPROACH","7","eye-level + slight left/right","70-80%","PENDING","","Keep gopuram/temple visible; move physically between shots."
"SHOT_008","FRONT_APPROACH","8","eye-level + slight left/right","70-80%","PENDING","","Keep gopuram/temple visible; move physically between shots."
"SHOT_009","FRONT_APPROACH","9","eye-level + slight left/right","70-80%","PENDING","","Keep gopuram/temple visible; move physically between shots."
"SHOT_010","FRONT_APPROACH","10","eye-level + slight left/right","70-80%","PENDING","","Keep gopuram/temple visible; move physically between shots."
"SHOT_011","FRONT_APPROACH","11","eye-level + slight left/right","70-80%","PENDING","","Keep gopuram/temple visible; move physically between shots."
"SHOT_012","FRONT_APPROACH","12","eye-level + slight left/right","70-80%","PENDING","","Keep gopuram/temple visible; move physically between shots."
"SHOT_013","LEFT_ARC","1","left oblique","70-80%","PENDING","","Maintain continuous overlap with previous front sequence."
"SHOT_014","LEFT_ARC","2","left oblique","70-80%","PENDING","","Maintain continuous overlap with previous front sequence."
"SHOT_015","LEFT_ARC","3","left oblique","70-80%","PENDING","","Maintain continuous overlap with previous front sequence."
"SHOT_016","LEFT_ARC","4","left oblique","70-80%","PENDING","","Maintain continuous overlap with previous front sequence."
"SHOT_017","LEFT_ARC","5","left oblique","70-80%","PENDING","","Maintain continuous overlap with previous front sequence."
"SHOT_018","LEFT_ARC","6","left oblique","70-80%","PENDING","","Maintain continuous overlap with previous front sequence."
"SHOT_019","LEFT_ARC","7","left oblique","70-80%","PENDING","","Maintain continuous overlap with previous front sequence."
"SHOT_020","LEFT_ARC","8","left oblique","70-80%","PENDING","","Maintain continuous overlap with previous front sequence."
"SHOT_021","RIGHT_ARC","1","right oblique","70-80%","PENDING","","Maintain continuous overlap with front/right transition."
"SHOT_022","RIGHT_ARC","2","right oblique","70-80%","PENDING","","Maintain continuous overlap with front/right transition."
"SHOT_023","RIGHT_ARC","3","right oblique","70-80%","PENDING","","Maintain continuous overlap with front/right transition."
"SHOT_024","RIGHT_ARC","4","right oblique","70-80%","PENDING","","Maintain continuous overlap with front/right transition."
"SHOT_025","RIGHT_ARC","5","right oblique","70-80%","PENDING","","Maintain continuous overlap with front/right transition."
"SHOT_026","RIGHT_ARC","6","right oblique","70-80%","PENDING","","Maintain continuous overlap with front/right transition."
"SHOT_027","RIGHT_ARC","7","right oblique","70-80%","PENDING","","Maintain continuous overlap with front/right transition."
"SHOT_028","RIGHT_ARC","8","right oblique","70-80%","PENDING","","Maintain continuous overlap with front/right transition."
"SHOT_029","UPPER_DETAILS","1","upward oblique","70-80%","PENDING","","Capture gopuram/sikhara details with overlapping wider context."
"SHOT_030","UPPER_DETAILS","2","upward oblique","70-80%","PENDING","","Capture gopuram/sikhara details with overlapping wider context."
"SHOT_031","UPPER_DETAILS","3","upward oblique","70-80%","PENDING","","Capture gopuram/sikhara details with overlapping wider context."
"SHOT_032","UPPER_DETAILS","4","upward oblique","70-80%","PENDING","","Capture gopuram/sikhara details with overlapping wider context."
"SHOT_033","UPPER_DETAILS","5","upward oblique","70-80%","PENDING","","Capture gopuram/sikhara details with overlapping wider context."
"SHOT_034","UPPER_DETAILS","6","upward oblique","70-80%","PENDING","","Capture gopuram/sikhara details with overlapping wider context."
"SHOT_035","WIDE_CONTEXT","1","wide exterior","70-80%","PENDING","","Include hill/approach context; avoid isolated distant shots."
"SHOT_036","WIDE_CONTEXT","2","wide exterior","70-80%","PENDING","","Include hill/approach context; avoid isolated distant shots."
"SHOT_037","WIDE_CONTEXT","3","wide exterior","70-80%","PENDING","","Include hill/approach context; avoid isolated distant shots."
"SHOT_038","WIDE_CONTEXT","4","wide exterior","70-80%","PENDING","","Include hill/approach context; avoid isolated distant shots."
"SHOT_039","WIDE_CONTEXT","5","wide exterior","70-80%","PENDING","","Include hill/approach context; avoid isolated distant shots."
"SHOT_040","WIDE_CONTEXT","6","wide exterior","70-80%","PENDING","","Include hill/approach context; avoid isolated distant shots."
"SHOT_041","REAR_OR_SIDE_IF_PUBLIC","1","rear/side oblique","70-80%","PENDING","","Only from publicly accessible/safe positions."
"SHOT_042","REAR_OR_SIDE_IF_PUBLIC","2","rear/side oblique","70-80%","PENDING","","Only from publicly accessible/safe positions."
"SHOT_043","REAR_OR_SIDE_IF_PUBLIC","3","rear/side oblique","70-80%","PENDING","","Only from publicly accessible/safe positions."
"SHOT_044","REAR_OR_SIDE_IF_PUBLIC","4","rear/side oblique","70-80%","PENDING","","Only from publicly accessible/safe positions."
"SHOT_045","REAR_OR_SIDE_IF_PUBLIC","5","rear/side oblique","70-80%","PENDING","","Only from publicly accessible/safe positions."
"SHOT_046","REAR_OR_SIDE_IF_PUBLIC","6","rear/side oblique","70-80%","PENDING","","Only from publicly accessible/safe positions."
